Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Yetta,BE58050146185085,BE08680538497167,Wed Apr 29 06:51:24 CEST 2020,2665.9,EUR,Quo animi voluptatem.
Yetta,BE58050146185085,BE29383262349439,Fri Apr 17 22:50:58 CEST 2020,1957.37,EUR,Quia facere eaque aut repudiandae.
Yetta,BE58050146185085,BE11892212035823,Wed Apr 29 09:08:38 CEST 2020,925.89,EUR,Est mollitia doloribus quis necessitatibus est fugiat.
Terri,BE29445729949896,BE60874486239130,Mon Apr 27 04:03:34 CEST 2020,3825.21,EUR,In debitis commodi officiis vel.
Hubert,BE95039661937964,BE89431363165132,Mon Apr 20 21:21:14 CEST 2020,-4257.22,EUR,Sed quia ipsa qui.
Hubert,BE95039661937964,BE36930235586942,Thu Apr 30 14:18:03 CEST 2020,-1903.88,EUR,Fuga ipsa eos facilis quo odit aut.
Hubert,BE95039661937964,BE03674928756494,Sat Apr 18 01:19:38 CEST 2020,1855.27,EUR,Omnis odit aut et cupiditate quisquam et est.
Bryan,BE93734660086502,BE92003113807568,Mon Apr 27 01:12:37 CEST 2020,-703.3,EUR,Et et iste.
Bryan,BE93734660086502,BE52285834189376,Mon Apr 27 03:11:04 CEST 2020,-3308.76,EUR,Est amet similique et esse.
Bryan,BE93734660086502,BE34255677652411,Sat May 02 07:33:55 CEST 2020,4331.31,EUR,In sint consectetur blanditiis.
Bryan,BE93734660086502,BE48555373083299,Sat May 02 05:00:48 CEST 2020,-4841.76,EUR,Voluptatem enim incidunt aspernatur id quia quia.
Bryan,BE93734660086502,BE47654499866420,Thu Apr 23 04:45:31 CEST 2020,-1083.57,EUR,Ut quibusdam architecto sint assumenda ut delectus rerum.
Bryan,BE93734660086502,BE78000970759466,Sat May 02 16:44:04 CEST 2020,4440.1,EUR,Ipsa dolore ea architecto aliquam.
Bryan,BE93734660086502,BE78607682223968,Sat May 02 13:39:47 CEST 2020,1360.65,EUR,Molestiae laboriosam aut quisquam voluptas est.
Bryan,BE93734660086502,BE76515413302586,Sat May 02 10:20:35 CEST 2020,-2651.06,EUR,Quo voluptatibus quis optio quas.
Bryan,BE93734660086502,BE67286589675740,Wed Apr 29 04:00:08 CEST 2020,-1364.07,EUR,Numquam dignissimos quisquam consequuntur labore.
Bryan,BE93734660086502,BE98148183877755,Thu Apr 23 22:01:26 CEST 2020,4768.52,EUR,Aliquid saepe quo.
Willian,BE46568335193723,BE46657740447870,Fri May 01 04:38:13 CEST 2020,-1583.33,EUR,Est est aliquid enim quas hic perferendis.
